Pressure,Temperature,Catalyst,Time,Yield
9.17,120.0,2.4,34.2,100.0
6.98,97.1,2.11,25.4,50.0
4.98,103.4,3.19,21.9,50.0
6.83,98.0,4.94,20.0,50.0
6.94,106.6,2.33,31.9,66.1
9.97,120.1,2.31,24.2,100.0
9.28,117.6,4.25,20.3,100.0
11.15,119.5,2.94,27.2,100.0
8.04,117.0,4.15,39.2,100.0
5.4,105.9,2.6,33.8,52.0
9.85,104.8,3.38,37.2,82.5
10.21,100.5,2.8,22.9,50.0
8.71,129.0,3.35,21.5,50.0
10.28,119.7,4.31,20.2,100.0
8.2,102.5,4.29,39.1,50.0
8.42,102.1,3.55,26.0,50.0
7.71,129.9,4.79,29.2,50.0
4.69,124.7,2.79,27.9,50.0
5.31,121.4,2.72,34.6,73.3
4.74,111.3,3.84,26.2,84.6
9.27,105.5,3.86,30.7,84.0
6.86,134.2,2.14,39.9,50.0
8.31,126.9,3.82,28.9,50.0
11.31,107.1,3.12,31.0,100.0
6.37,128.9,4.24,30.1,50.0
7.58,125.4,4.42,36.1,66.3
10.17,106.9,3.66,25.3,96.5
6.22,112.1,2.01,23.4,84.5
5.08,102.4,3.91,35.1,50.0
6.67,99.4,4.25,28.3,50.0
5.71,123.9,2.75,38.3,57.7
11.47,105.7,3.39,32.9,100.0
10.56,127.8,4.9,31.3,61.8
9.25,134.8,2.89,21.4,50.0
11.04,98.1,2.67,34.6,50.0
10.53,113.9,2.63,33.7,100.0
5.9,127.1,3.68,32.8,50.0
11.19,126.6,4.85,25.4,78.0
8.55,125.4,3.83,38.9,67.6
10.56,109.0,2.91,26.4,100.0
11.22,113.2,3.92,23.0,100.0
6.89,118.8,3.87,39.7,100.0
5.33,134.0,3.79,34.9,50.0
6.21,108.1,2.48,28.3,68.9
7.7,131.9,3.9,38.7,50.0
10.64,105.8,3.29,21.8,91.7
10.96,134.6,2.06,21.8,50.0
4.55,121.8,3.62,33.6,67.7
8.33,113.5,4.97,23.6,100.0
7.63,119.5,3.05,38.3,100.0
6.17,105.9,4.9,36.8,72.1
5.4,106.0,2.29,26.1,50.0
7.03,99.5,4.2,37.8,50.0
11.57,99.6,2.34,20.9,50.0
6.92,108.9,2.82,31.0,85.0
8.39,125.5,3.71,38.7,72.2
9.77,119.3,3.78,37.1,100.0
7.23,99.1,4.33,27.1,50.0
11.79,129.1,3.85,23.7,50.0
11.72,119.1,3.78,24.2,100.0
6.39,133.4,4.74,30.3,50.0
8.23,121.8,3.36,31.9,93.1
6.76,102.0,2.68,20.7,50.0
6.64,114.0,2.49,28.3,99.4
4.78,120.9,3.2,36.6,76.6
9.07,96.1,4.14,28.9,50.0
8.27,95.6,2.13,23.4,50.0
4.89,100.2,2.39,39.1,50.0
6.59,105.1,2.32,25.3,50.0
11.31,112.2,3.76,36.0,100.0
6.3,114.5,2.73,23.9,96.2
5.59,100.5,2.5,28.5,50.0
8.17,121.9,3.78,29.8,100.0
11.89,118.8,4.28,30.0,100.0
6.32,106.8,3.0,30.3,68.7
9.54,95.5,3.73,24.5,50.0
10.21,98.1,2.29,30.3,50.0
6.28,110.7,4.81,29.6,100.0
9.96,101.2,3.01,24.2,50.0
7.26,110.1,4.99,39.8,100.0
9.24,120.1,4.94,37.3,100.0
9.25,116.9,4.34,37.8,100.0
8.52,104.2,2.06,33.7,59.0
5.18,108.8,3.63,23.2,71.2
10.76,119.6,2.26,31.4,100.0
6.91,129.4,4.69,36.4,50.0
5.9,125.1,4.37,20.8,51.7
4.81,117.1,4.92,29.9,95.7
8.93,109.5,3.83,27.9,100.0
9.58,109.6,3.57,24.2,100.0
4.62,130.2,3.56,27.6,50.0
8.34,96.6,3.16,39.7,50.0
6.2,134.5,3.41,34.5,50.0
9.34,121.6,3.91,26.0,100.0
5.81,122.2,4.8,32.1,79.8
9.68,96.5,3.79,24.9,50.0
7.4,119.2,4.57,32.2,100.0
11.53,114.4,4.59,37.9,100.0
5.53,99.2,3.56,31.1,50.0
7.06,106.1,3.04,34.7,70.2
5.35,130.6,3.92,29.1,50.0
11.44,117.0,3.34,30.5,100.0
11.08,111.5,2.24,33.9,100.0
6.43,97.9,3.13,36.2,50.0
9.45,123.6,4.98,33.2,100.0
10.63,123.1,2.15,39.5,97.7
8.66,119.6,4.09,36.4,100.0
8.47,115.4,4.52,35.5,100.0
6.31,112.4,3.95,36.9,100.0
5.2,118.7,3.71,25.6,86.6
11.23,104.3,4.12,28.6,87.4
11.25,132.7,3.29,31.3,50.0
9.25,118.6,2.27,29.2,100.0
7.04,107.4,4.89,36.9,90.5
7.12,113.0,3.3,20.5,100.0
9.94,127.2,4.0,24.2,58.0
11.23,101.5,3.59,37.6,56.2
11.15,106.7,2.16,21.2,98.8
10.35,122.2,4.86,24.5,100.0
9.32,107.6,4.38,27.0,100.0
5.13,126.7,2.45,35.0,50.0
5.71,100.2,4.94,31.2,50.0
11.24,125.5,4.21,39.1,98.7
9.05,97.7,3.42,24.6,50.0
4.57,95.5,3.83,37.4,50.0
5.26,130.9,2.32,25.7,50.0
9.48,118.3,3.68,24.9,100.0
4.54,109.1,2.22,30.0,66.5
5.71,104.3,3.63,21.4,50.0
8.62,119.7,3.66,27.7,100.0
9.69,115.4,4.62,27.1,100.0
9.39,134.7,4.18,23.2,50.0
6.18,134.3,2.75,37.2,50.0
9.84,120.4,4.67,27.7,100.0
6.28,112.7,3.72,39.6,100.0
6.94,114.6,3.82,38.0,100.0
10.1,122.3,2.51,23.9,96.1
9.37,99.1,4.57,30.1,50.0
10.87,108.1,4.79,32.0,100.0
9.43,98.0,4.32,36.4,50.0
8.76,97.9,4.82,37.7,50.0
5.2,102.8,2.91,32.5,50.0
7.26,114.4,4.58,20.7,100.0
6.49,126.4,3.47,29.6,50.0
6.33,114.4,2.49,37.7,100.0
11.8,108.4,4.01,34.3,100.0
7.45,98.3,4.05,37.4,50.0
11.19,117.0,2.86,33.5,100.0
9.23,105.9,2.08,20.9,71.3
10.46,119.6,2.6,39.4,100.0
8.27,134.1,3.2,38.4,50.0
8.83,99.5,2.5,22.5,50.0
8.19,103.5,2.58,22.3,50.0
5.96,113.9,3.17,30.8,98.1
9.92,133.7,4.89,35.1,50.0
6.61,125.9,4.29,27.6,50.0
4.68,130.9,2.96,22.7,50.0
9.34,108.3,4.85,30.2,100.0
5.83,134.7,3.94,26.8,50.0
11.55,99.1,3.37,27.0,50.0
11.65,97.1,3.4,32.9,50.0
11.36,129.2,3.23,37.7,50.0
7.28,132.1,2.7,31.2,50.0
4.62,98.6,3.16,33.8,50.0
11.46,99.5,3.58,33.2,50.0
7.71,96.3,3.58,31.0,50.0
11.75,99.2,4.29,26.2,50.0
11.73,103.4,3.08,27.6,75.7
10.9,133.8,4.15,26.3,50.0
6.71,121.7,3.73,38.3,88.5
7.39,126.1,4.89,36.5,60.7
10.88,126.0,3.16,31.6,76.0
6.88,116.4,4.7,38.2,100.0
5.77,126.9,4.46,37.7,50.0
8.68,118.8,3.91,38.6,100.0
11.52,107.6,3.96,24.4,100.0
9.72,117.4,2.25,34.4,100.0
8.78,116.3,4.85,32.2,100.0
5.23,127.9,2.32,34.7,50.0
9.11,134.3,3.69,25.3,50.0
11.93,111.4,2.99,33.9,100.0
5.55,125.5,3.29,28.2,50.0
8.39,99.0,3.83,36.7,50.0
11.08,126.1,4.73,35.9,89.4
10.06,109.9,3.37,24.2,100.0
9.73,96.6,4.96,23.7,50.0
9.77,109.5,3.78,34.4,100.0
7.2,119.4,2.48,31.0,91.5
6.7,99.8,2.57,31.1,50.0
10.57,132.0,4.15,35.1,50.0
10.58,98.1,2.15,37.1,50.0
11.0,132.2,3.44,24.8,50.0
11.35,123.3,2.44,31.1,100.0
8.34,108.2,3.3,36.6,96.7
8.26,110.6,4.25,37.5,100.0
10.49,124.6,3.38,25.7,84.6
9.37,119.1,2.49,22.1,100.0
9.76,121.9,2.76,24.7,100.0
10.47,110.6,3.1,38.9,100.0
11.18,114.5,2.21,29.2,100.0
7.03,134.6,3.75,28.4,50.0
7.32,103.6,3.82,20.3,50.0
5.2,111.7,2.19,21.0,77.5
8.84,106.7,3.21,33.4,88.6
4.77,125.6,3.24,31.8,50.0
7.99,125.6,3.0,31.5,55.6
8.57,106.7,3.67,22.2,83.7
6.65,98.3,3.04,27.0,50.0
8.93,95.5,3.25,36.2,50.0
4.73,112.1,4.39,23.5,90.2
4.78,111.4,2.49,37.7,78.7
10.67,134.5,3.86,22.4,50.0
7.2,113.8,3.52,23.4,100.0
5.45,105.3,2.92,29.6,50.0
8.42,130.6,4.18,38.9,50.0
10.27,114.6,3.65,26.6,100.0
6.12,119.0,3.43,33.2,93.4
9.17,98.8,4.0,31.8,50.0
5.14,110.3,4.41,23.0,86.5
4.89,132.8,4.92,25.0,50.0
8.49,118.6,3.89,38.6,100.0
8.55,108.8,4.62,23.7,100.0
9.28,120.0,2.0,33.9,100.0
9.95,131.4,3.59,39.3,50.0
11.82,106.0,2.64,22.4,94.9
8.37,115.2,2.28,28.0,100.0
6.92,133.3,3.6,24.5,50.0
10.46,101.9,4.24,24.4,50.0
6.53,123.8,3.24,22.4,66.9
7.79,119.6,4.01,33.0,100.0
5.09,122.2,3.47,34.9,69.7
4.69,109.0,3.31,33.5,72.4
11.72,107.6,2.87,38.5,100.0
10.77,122.4,3.15,22.9,100.0
9.72,103.6,3.05,26.4,61.3
7.57,111.8,3.94,26.9,100.0
5.8,102.5,2.35,24.6,50.0
5.67,95.3,2.28,22.8,50.0
6.38,133.8,3.98,29.7,50.0
8.62,112.3,3.64,36.7,100.0
9.86,133.8,3.29,39.1,50.0
9.45,100.6,2.46,22.6,50.0
6.6,118.5,3.23,36.5,100.0
11.66,103.0,4.37,36.5,80.7
10.03,126.6,4.67,27.8,73.9
8.66,126.3,4.11,22.2,54.7
9.09,99.5,2.18,39.8,50.0
7.65,131.5,4.01,33.1,50.0
6.36,102.8,2.72,39.6,50.0
7.17,119.5,2.95,29.7,94.9
10.18,134.4,2.59,27.9,50.0
4.61,130.3,4.33,24.9,50.0
5.37,133.3,3.95,39.7,50.0
4.85,108.7,3.84,25.1,72.1
4.81,99.2,4.0,20.5,50.0
10.92,102.5,2.71,30.2,57.0
9.78,115.0,3.33,27.5,100.0
8.06,126.7,3.9,25.2,50.0
5.23,101.0,3.91,32.7,50.0
8.19,121.4,4.38,27.3,100.0
8.05,107.9,2.86,28.0,88.4
5.8,108.6,4.31,20.5,81.1
7.75,121.5,3.32,31.8,94.3
7.49,113.7,4.01,22.4,100.0
9.12,127.5,3.37,24.3,50.0
9.26,101.2,4.85,34.3,50.0
4.84,126.6,2.54,26.3,50.0
7.31,97.6,4.03,23.3,50.0
9.19,102.8,3.73,31.5,56.5
8.27,121.2,2.52,24.3,90.9
10.92,129.2,2.2,25.4,50.0
9.44,105.1,4.4,32.4,85.4
5.72,108.1,2.47,34.8,71.8
5.03,116.5,2.56,34.8,88.5
9.32,103.5,4.94,29.6,69.3
4.7,127.4,4.15,29.1,50.0
8.89,125.9,2.75,35.8,61.1
11.55,100.8,3.77,23.9,50.0
8.82,113.6,3.6,23.0,100.0
7.41,126.0,4.53,33.3,59.2
9.32,108.5,4.19,28.2,100.0
7.94,120.3,4.5,34.2,100.0
8.59,97.0,2.63,25.1,50.0
11.56,119.3,3.92,26.5,100.0
7.4,101.1,2.12,37.9,50.0
11.71,128.2,2.21,28.4,52.6
11.29,109.2,4.14,31.8,100.0
5.97,106.3,2.07,22.1,51.9
5.02,128.6,3.74,23.6,50.0
5.26,97.0,4.52,20.7,50.0
4.64,110.9,3.14,28.5,78.5
5.21,109.8,2.13,39.8,74.0
9.62,106.4,4.14,37.5,100.0
5.03,131.5,4.79,32.7,50.0
6.89,125.0,4.15,37.2,65.6
10.84,97.6,3.74,31.9,50.0
4.67,123.6,2.69,27.4,50.0
10.61,116.1,2.05,23.5,100.0
6.61,131.0,4.08,33.1,50.0
5.39,107.5,2.69,23.9,57.7
9.73,118.0,4.57,28.3,100.0
9.22,115.0,3.4,36.5,100.0
11.08,114.6,3.59,22.6,100.0
10.01,113.2,4.26,22.6,100.0
10.53,103.2,4.34,24.5,69.4
6.62,125.2,3.93,31.0,52.4
5.83,113.1,4.82,25.0,100.0
10.13,133.3,4.95,30.1,50.0
10.55,105.4,4.84,26.0,96.7
11.93,122.3,4.47,30.1,100.0
7.59,132.6,4.12,25.6,50.0
7.29,121.5,3.99,39.6,96.8
10.32,129.9,2.31,29.9,50.0
7.06,128.1,2.81,34.9,50.0
11.48,109.4,2.02,34.0,100.0
10.94,119.0,2.41,29.8,100.0
7.72,101.3,3.32,24.8,50.0
10.13,116.4,2.44,30.2,100.0
10.16,104.2,4.7,33.6,83.8
5.27,124.7,4.42,29.2,53.2
11.27,116.1,2.21,21.6,100.0
8.29,111.4,2.75,20.4,100.0
10.7,105.8,4.46,26.6,100.0
6.9,134.9,4.41,23.0,50.0
11.22,97.9,4.84,38.1,50.0
7.42,96.7,4.99,23.5,50.0
4.58,103.7,4.93,27.9,50.0
11.29,133.8,3.23,34.2,50.0
5.18,134.2,2.75,36.3,50.0
6.89,121.2,4.28,29.6,96.3
11.63,130.2,2.9,23.6,50.0
11.63,103.6,4.42,25.4,84.6
8.8,133.9,3.6,28.4,50.0
9.24,100.7,4.38,27.3,50.0
7.86,99.0,2.83,27.0,50.0
6.7,99.5,3.52,22.6,50.0
6.96,117.9,3.69,38.3,100.0
9.54,126.2,4.83,20.6,69.7
10.14,109.7,2.8,28.8,100.0
10.44,134.1,4.81,39.6,50.0
10.42,112.4,4.41,33.2,100.0
5.18,101.0,4.19,27.1,50.0
8.21,113.6,4.36,22.9,100.0
4.93,122.2,3.82,39.3,73.2
8.62,128.3,2.73,20.3,50.0
7.81,113.4,2.57,33.6,100.0
11.16,118.7,4.6,37.6,100.0
7.13,105.7,4.18,20.5,63.3
5.38,120.8,2.64,34.5,72.8
5.57,134.4,3.85,40.0,50.0
10.21,97.0,3.34,32.8,50.0
9.14,130.5,2.48,28.3,50.0
5.26,117.5,3.6,37.5,96.0
5.13,105.1,2.84,31.1,50.0
9.76,133.2,2.29,35.0,50.0
5.05,114.3,3.4,31.8,92.4
10.66,108.3,3.77,20.8,100.0
9.8,102.3,2.14,24.3,50.0
5.11,104.8,3.21,21.6,50.0
5.14,128.3,2.77,22.1,50.0
11.9,119.6,2.09,20.3,100.0
7.31,131.5,2.38,28.4,50.0
7.28,104.3,2.42,23.6,50.0
10.6,99.8,2.55,37.1,50.0
11.6,95.2,4.41,35.0,50.0
11.9,115.3,3.32,31.5,100.0
10.15,134.9,2.44,29.8,50.0
7.32,122.8,2.3,25.1,70.0
5.13,107.3,2.89,29.5,59.9
10.33,130.1,4.39,32.8,50.0
8.69,126.3,3.09,35.6,58.5
7.68,95.6,2.48,21.6,50.0
11.3,127.7,3.21,34.2,62.4
5.33,107.0,3.67,34.9,66.7
8.19,101.0,2.09,31.2,50.0
4.59,104.1,3.88,24.3,50.0
8.01,113.7,3.19,30.8,100.0
4.92,112.0,2.03,30.1,78.9
5.39,106.6,4.02,29.5,65.5
5.38,101.9,4.14,29.2,50.0
9.37,125.5,3.89,22.2,74.1
10.1,134.6,3.03,23.7,50.0
8.88,126.1,3.59,21.9,60.4
11.72,106.8,3.16,24.8,100.0
7.31,104.8,4.1,25.3,59.5
6.64,103.7,3.75,24.9,50.0
11.01,100.5,2.25,24.2,50.0
6.18,117.1,3.93,34.7,100.0
11.72,119.2,4.06,36.4,100.0
4.59,123.2,3.11,26.5,50.4
11.77,122.2,4.63,26.1,100.0
4.82,106.7,4.53,36.9,69.2
11.18,108.2,2.53,32.5,100.0
8.46,122.3,4.71,25.9,100.0
11.95,109.0,3.32,34.3,100.0
5.05,103.5,4.17,26.9,50.0
8.65,110.0,4.44,31.7,100.0
11.77,105.9,3.52,39.9,100.0
8.42,98.5,3.2,26.0,50.0
9.22,128.2,4.75,38.6,50.0
9.72,129.1,2.69,26.4,50.0
7.91,103.8,2.77,30.8,50.6
9.21,97.6,3.08,29.2,50.0
8.88,124.6,4.58,35.7,86.8
11.26,103.5,4.82,21.2,77.9
4.84,110.7,2.66,32.5,79.1
6.61,97.6,4.59,35.2,50.0
11.63,104.1,2.77,29.4,79.5
11.18,126.7,4.91,22.1,78.9
7.92,127.2,3.79,24.9,50.0
9.15,103.3,2.02,33.6,50.0
6.58,108.4,2.1,37.9,78.3
5.91,100.4,2.44,28.4,50.0
7.98,98.0,2.56,31.2,50.0
7.15,134.7,4.3,24.6,50.0
8.88,121.2,2.67,28.2,98.9
5.08,116.7,4.91,26.7,100.0
11.81,125.6,3.91,33.1,94.4
11.9,128.6,4.08,39.7,64.2
9.74,127.3,2.65,36.3,53.5
8.52,95.7,4.68,23.8,50.0
6.82,102.5,4.0,31.6,50.0
10.6,121.2,4.59,21.3,100.0
9.64,110.0,4.87,24.9,100.0
5.72,134.3,2.38,23.4,50.0
11.33,121.6,2.29,26.7,100.0
10.67,133.3,4.41,33.6,50.0
11.62,103.1,4.6,30.0,82.3
9.94,129.6,3.75,38.7,50.0
9.1,107.9,3.1,24.3,95.3
7.64,134.6,3.96,27.3,50.0
11.5,101.3,2.92,26.6,50.0
11.0,115.7,2.72,24.7,100.0
4.84,126.7,3.46,39.9,50.0
4.7,112.3,2.65,27.7,80.9
7.32,113.7,3.45,38.8,100.0
10.58,134.5,4.87,27.8,50.0
11.9,112.0,4.52,24.1,100.0
5.63,119.2,4.82,22.4,99.4
8.96,97.2,4.42,37.1,50.0
7.36,128.7,3.06,20.6,50.0
11.77,120.9,4.44,39.3,100.0
10.82,111.2,4.77,28.4,100.0
10.79,95.6,4.84,24.9,50.0
8.02,118.7,4.05,32.3,100.0
7.61,95.5,2.63,22.7,50.0
6.55,95.0,2.12,21.4,50.0
4.92,119.6,2.44,36.6,78.3
10.99,102.6,4.9,28.5,72.1
10.6,102.7,3.39,30.4,59.3
12.0,121.1,4.56,23.5,100.0
11.97,97.1,3.4,21.2,50.0
8.67,107.5,3.98,27.4,97.2
10.27,101.0,2.07,30.1,50.0
11.59,118.2,2.75,35.3,100.0
10.87,121.5,3.31,30.0,100.0
6.36,123.8,3.89,35.7,70.1
7.88,105.2,2.51,22.3,58.0
5.47,98.6,4.29,21.3,50.0
11.66,98.1,3.09,23.2,50.0
9.05,112.0,4.45,35.4,100.0
6.21,132.8,2.29,35.2,50.0
9.54,103.7,4.04,22.8,65.8
9.14,105.3,2.88,20.6,69.4
7.19,99.0,4.39,33.7,50.0
5.35,119.2,3.21,37.1,91.1
9.54,122.2,4.0,35.1,100.0
8.4,120.7,4.8,24.1,100.0
10.29,129.4,2.06,31.7,50.0
8.4,114.5,2.03,35.1,100.0
10.89,100.4,4.31,25.1,50.0
8.64,106.6,3.94,30.6,89.6
8.71,121.5,2.88,26.3,94.2
11.07,119.5,3.48,24.5,100.0
7.53,116.2,2.13,39.4,100.0
5.51,122.3,2.58,38.3,68.7
4.72,120.5,3.27,28.9,77.1
10.16,130.3,4.5,22.7,50.0
9.15,118.4,3.44,34.6,100.0
9.78,126.1,3.76,25.1,67.5
6.1,104.9,4.62,23.4,53.6
5.52,122.1,2.93,27.6,70.1
4.61,131.1,4.1,30.6,50.0
7.13,110.4,4.59,21.9,100.0
8.92,126.2,2.61,31.4,58.0
7.44,124.0,3.07,20.3,61.3
7.78,97.4,4.94,37.8,50.0
11.28,118.3,4.95,38.4,100.0
7.11,100.2,2.67,34.7,50.0
8.35,133.7,2.2,29.3,50.0
10.38,127.5,2.81,25.1,51.9
7.47,99.4,3.19,34.9,50.0
9.17,99.9,3.32,38.6,50.0
10.97,118.8,3.86,23.2,100.0
11.62,108.8,4.7,29.3,100.0
5.6,96.4,2.99,26.3,50.0
11.45,116.7,4.55,27.1,100.0
8.19,110.5,2.28,28.1,99.3
6.44,99.0,2.13,39.0,50.0
7.94,127.1,3.51,25.2,50.0
11.85,131.6,2.18,29.9,50.0
8.19,125.3,3.18,39.0,69.8
6.97,127.9,4.69,29.5,50.0
9.25,103.7,2.72,37.3,60.9
6.3,105.5,4.12,21.2,61.7
5.07,103.3,2.91,39.1,50.0
5.47,125.6,2.13,23.8,50.0
5.46,132.9,3.67,39.6,50.0
5.64,123.7,4.5,23.5,64.7
5.54,130.3,3.23,28.9,50.0
9.31,120.5,3.85,26.2,100.0
5.86,110.5,4.7,28.7,96.8
7.09,112.0,4.37,25.0,100.0
11.23,98.0,2.58,39.3,50.0
8.05,96.3,4.2,26.1,50.0
9.51,122.8,3.51,33.1,100.0
5.79,112.5,4.24,22.7,95.1
5.94,117.1,3.48,36.5,100.0
4.81,117.3,2.38,30.9,82.4
5.77,106.1,3.71,39.6,67.0
6.59,114.0,3.48,28.5,99.5
5.83,113.8,3.55,23.9,96.3
5.17,110.5,4.64,26.9,87.0
5.4,127.8,4.68,34.7,50.0
7.96,113.0,3.36,33.2,100.0
6.05,119.1,3.37,35.6,93.5
7.23,130.8,3.55,21.5,50.0
8.28,129.6,3.56,31.6,50.0
9.68,130.6,4.85,38.6,50.0
4.79,105.8,3.95,22.2,50.0
10.5,96.4,2.83,21.9,50.0
9.21,105.4,3.59,34.3,85.6
5.11,106.1,3.88,26.3,55.9
11.05,131.4,3.92,33.2,50.0
11.41,121.0,3.76,30.9,100.0
4.96,98.3,2.53,39.7,50.0
6.58,100.4,2.1,37.8,50.0
10.55,101.2,3.01,33.6,50.0
10.11,120.2,3.28,25.2,100.0
5.88,124.4,2.19,25.2,50.0
6.07,129.4,4.44,37.6,50.0
7.28,132.6,3.03,31.7,50.0
8.13,103.1,4.74,35.8,55.3
9.14,107.4,2.46,29.0,90.8
7.27,104.6,2.17,22.1,50.0
7.97,109.4,3.45,26.7,98.0
10.11,131.6,2.57,23.2,50.0
4.78,118.0,4.81,35.6,93.3
6.39,124.5,2.03,34.0,54.6
9.85,114.6,3.24,21.8,100.0
11.21,96.2,4.78,32.4,50.0
8.34,97.6,3.15,37.5,50.0
8.49,116.5,2.28,33.9,100.0
5.3,123.8,2.91,30.2,55.5
7.86,103.6,3.49,26.2,50.0
8.49,123.9,2.56,37.7,78.2
6.32,127.4,3.4,28.5,50.0
6.52,111.5,4.51,37.1,100.0
7.33,124.9,4.62,35.7,70.1
4.65,111.2,2.15,36.3,77.3
6.92,122.1,2.48,39.8,81.1
6.09,125.6,2.83,35.0,50.0
6.96,134.7,3.78,20.7,50.0
5.4,108.8,3.08,24.1,71.5
11.18,111.4,4.53,20.7,100.0
8.95,101.6,4.15,23.8,50.0
9.59,103.2,2.3,21.2,52.2
10.42,122.7,3.87,30.0,100.0
8.24,131.7,2.34,20.6,50.0
5.15,110.8,2.77,29.5,77.2
8.53,102.2,2.53,38.0,50.0
8.9,106.4,2.52,35.0,81.7
10.09,113.2,3.85,38.9,100.0
7.74,106.6,3.69,24.5,79.4
5.46,104.3,2.53,30.6,50.0
6.63,124.4,4.97,26.4,64.3
7.22,95.3,3.27,29.9,50.0
9.34,116.6,2.29,31.1,100.0
8.78,126.8,2.36,20.7,50.0
7.17,105.6,3.75,24.7,68.6
11.9,119.1,4.94,34.1,100.0
9.04,121.8,3.72,35.5,100.0
6.28,121.2,4.85,31.4,88.7
5.26,112.8,3.33,25.4,91.1
5.65,108.9,3.31,28.1,75.5
6.34,128.4,3.5,21.9,50.0
5.71,125.3,4.09,39.1,50.8
5.9,107.9,3.1,37.4,74.3
6.64,99.1,4.59,21.3,50.0
5.8,97.9,2.09,23.3,50.0
11.23,98.8,3.32,31.6,50.0
5.1,118.3,3.53,24.6,86.0
8.43,97.1,3.82,38.7,50.0
7.58,108.5,2.83,35.1,94.5
11.87,125.1,3.28,25.5,94.7
5.34,106.8,3.45,20.1,57.7
7.48,125.5,4.06,36.0,57.7
11.77,124.8,4.32,28.5,100.0
10.99,104.8,4.21,32.8,100.0
10.63,124.2,3.02,25.7,91.2
6.43,124.9,5.0,22.9,59.9
5.78,110.9,4.55,33.5,98.8
9.51,103.4,2.78,29.0,54.5
11.47,115.9,2.59,24.7,100.0
8.68,131.9,2.94,22.8,50.0
8.79,120.6,3.36,31.6,100.0
6.6,101.9,4.55,34.5,50.0
10.27,122.3,4.34,25.7,100.0
5.9,112.1,4.55,34.7,100.0
6.93,118.7,2.82,23.7,92.1
7.69,124.4,3.78,26.8,70.3
8.31,115.6,2.85,34.9,100.0
6.32,127.6,2.33,33.2,50.0
5.36,123.9,4.05,25.4,60.2
9.08,119.6,2.43,22.4,100.0
6.66,101.0,4.0,20.8,50.0
