Pressure,Temperature,Catalyst,Time,FlowRate,StirringSpeed,pH,Humidity,FeedConcentration,ReactorVolume,CoolingRate,Voltage,Current,Impurity,OperatorExperience,Yield
4.14,97.9,3.05,23.5,48.1,773.0,7.29,41.6,0.67,2.75,8.14,182.5,5.44,4.71,6.6,84.33
7.64,122.1,2.31,41.0,40.8,782.0,7.67,44.9,0.75,8.79,2.21,117.2,16.6,2.31,5.0,95.0
5.04,125.8,2.34,57.9,32.8,510.0,5.32,54.6,1.89,9.69,7.75,167.9,10.55,0.07,2.4,75.48
6.65,119.1,3.54,40.1,36.1,485.0,8.37,28.4,1.38,4.49,1.96,146.3,16.7,1.66,4.7,95.0
5.25,97.2,1.65,41.5,78.8,732.0,4.16,33.4,1.59,6.34,5.46,165.5,6.85,1.35,3.9,93.1
6.08,112.3,4.07,56.7,38.2,105.0,8.5,26.3,0.69,4.19,3.59,155.5,9.4,4.91,9.8,95.0
6.19,107.8,3.33,35.8,78.7,494.0,5.7,59.2,1.07,2.86,6.86,232.5,4.73,1.69,3.6,95.0
4.74,114.8,4.66,59.8,39.8,117.0,6.22,23.2,1.34,9.08,2.31,218.5,19.01,2.18,2.7,95.0
7.88,133.5,2.46,18.0,33.9,778.0,7.48,59.5,1.26,4.79,6.3,182.1,7.37,4.76,9.8,61.25
7.1,128.8,4.93,36.9,31.0,324.0,7.66,78.4,1.06,1.25,6.14,149.6,8.31,4.37,3.0,95.0
7.76,94.2,3.3,20.6,44.7,465.0,6.53,73.4,0.64,3.91,4.63,128.4,13.25,0.75,5.6,95.0
7.58,134.5,4.89,32.7,34.2,392.0,9.63,39.6,1.52,4.57,5.34,144.2,3.8,4.19,9.8,80.05
6.39,113.6,1.11,18.5,61.8,726.0,9.15,32.9,1.4,2.53,2.32,102.9,1.83,3.26,1.9,82.84
7.69,127.2,3.91,21.1,34.4,800.0,5.35,77.6,1.13,7.62,8.29,122.3,9.92,0.42,2.5,95.0
4.35,97.0,4.27,20.5,70.1,148.0,7.53,46.6,1.89,2.59,6.44,112.4,8.71,0.08,7.2,95.0
4.78,123.5,1.21,26.0,70.0,612.0,8.33,41.1,1.63,8.8,2.08,187.5,16.63,4.62,8.3,61.47
4.18,101.8,3.32,16.7,37.1,358.0,5.3,27.6,1.05,6.47,9.26,160.4,1.9,2.13,4.0,84.3
5.3,111.9,4.21,50.5,65.2,197.0,4.11,30.0,0.58,8.13,6.6,125.5,2.09,3.96,7.6,95.0
5.55,90.8,3.24,21.0,71.5,384.0,9.85,64.5,1.7,7.13,2.55,181.7,14.54,0.33,6.8,92.26
5.09,97.6,1.26,30.8,55.4,799.0,9.75,32.1,1.16,7.87,3.02,160.8,13.68,4.21,2.6,78.55
7.31,94.6,3.77,10.8,42.0,350.0,5.92,30.7,1.21,4.75,2.84,231.3,6.39,2.84,3.1,95.0
5.43,102.0,1.24,15.2,46.5,294.0,5.43,39.3,1.38,6.34,3.03,182.2,5.22,1.0,9.9,83.3
5.12,95.0,4.27,54.8,67.2,692.0,4.93,74.8,1.49,4.43,2.89,191.8,11.66,1.28,6.4,95.0
6.17,124.6,1.17,51.9,37.6,708.0,8.12,55.4,1.41,7.48,7.71,190.9,12.85,4.91,7.5,74.8
4.56,91.5,1.55,52.0,40.1,337.0,8.53,66.5,0.92,3.79,6.32,142.4,17.13,2.5,1.0,75.14
7.21,120.9,2.1,30.6,29.6,309.0,6.52,63.1,0.77,4.01,3.1,223.3,7.91,0.87,5.6,89.23
4.3,97.0,3.53,17.1,43.9,553.0,5.46,77.0,0.54,8.45,9.39,187.6,4.5,3.32,5.9,84.9
7.95,137.3,4.91,15.4,25.2,244.0,6.69,61.4,0.52,2.62,1.1,236.5,2.42,0.39,3.7,68.82
7.09,136.7,1.47,40.3,39.3,439.0,7.1,27.5,1.83,4.59,7.17,234.3,7.36,3.78,6.1,40.0
4.79,101.3,1.57,51.4,42.4,199.0,7.26,32.1,1.99,6.16,5.89,182.2,7.34,4.39,5.1,86.69
4.02,120.7,2.48,55.0,35.3,313.0,6.66,62.2,1.04,2.2,5.78,110.0,19.47,0.95,6.7,75.61
7.26,91.4,4.34,24.4,26.1,308.0,4.02,32.9,0.82,6.52,5.96,198.8,6.06,2.32,6.2,95.0
6.83,136.6,2.87,26.1,51.3,586.0,6.83,69.6,1.1,4.36,5.38,101.2,17.97,4.46,1.7,44.45
6.92,116.1,2.29,15.0,71.9,298.0,6.08,72.8,0.65,2.93,9.52,196.6,16.85,4.02,8.6,95.0
7.09,92.2,3.24,48.7,40.1,729.0,7.34,44.9,1.44,1.51,6.57,166.5,12.96,0.17,2.7,95.0
4.3,107.1,2.04,23.8,34.2,788.0,4.42,42.9,0.84,6.07,5.13,177.0,4.36,0.71,3.9,82.73
5.43,93.8,2.6,34.0,37.1,157.0,9.28,27.2,0.98,9.74,8.74,225.0,2.28,4.92,7.1,85.5
4.46,109.6,2.33,56.4,71.7,378.0,9.25,76.3,1.78,7.96,9.01,197.4,2.75,1.29,8.0,95.0
7.45,123.5,4.22,47.6,51.7,311.0,7.38,49.2,1.35,4.57,7.97,165.0,1.01,2.63,1.1,95.0
6.49,113.5,4.7,12.6,27.8,346.0,8.42,62.5,0.7,2.71,6.16,216.7,14.65,0.18,3.4,95.0
5.32,109.2,4.04,10.4,62.6,286.0,6.63,29.5,0.64,7.76,1.38,144.5,8.97,0.74,7.9,95.0
4.25,96.0,2.76,49.4,29.3,368.0,7.54,52.4,1.48,8.77,9.19,225.1,16.7,2.13,7.1,90.07
5.24,102.2,3.02,37.6,23.6,199.0,7.71,66.6,0.74,4.11,8.36,115.0,9.63,1.09,6.6,95.0
5.3,95.0,1.5,46.0,35.3,296.0,6.12,55.9,0.8,1.56,9.4,227.2,16.08,2.98,8.7,83.39
6.92,130.4,3.99,17.8,30.1,623.0,9.77,42.8,1.4,6.57,2.21,185.7,14.32,4.73,1.7,74.37
6.55,96.8,3.39,53.6,56.3,341.0,7.62,56.9,1.87,1.83,9.65,220.6,4.87,3.58,6.5,95.0
7.55,119.8,4.61,48.7,49.1,245.0,9.94,79.7,1.31,2.56,9.69,192.3,5.36,2.99,8.0,95.0
5.89,107.1,1.8,54.5,63.4,176.0,6.59,61.0,1.2,1.04,5.08,223.2,1.86,0.15,2.8,95.0
4.48,101.3,4.04,27.1,50.7,344.0,4.19,50.2,1.79,3.35,1.67,205.6,11.29,4.18,9.6,95.0
6.85,122.0,3.74,23.8,45.1,550.0,5.81,71.3,0.94,7.86,6.6,104.9,9.17,2.96,5.4,95.0
7.04,112.9,2.06,17.6,51.6,277.0,7.9,48.3,0.55,8.39,6.64,126.2,17.74,1.13,6.2,94.51
6.25,110.0,3.67,56.5,46.1,396.0,9.46,47.1,1.34,9.53,5.78,160.8,1.9,3.58,7.1,95.0
7.08,119.6,4.7,18.8,22.2,767.0,7.69,53.4,0.7,8.41,3.95,225.6,19.99,3.59,1.6,95.0
5.98,114.6,4.67,16.0,60.8,487.0,6.83,39.2,0.59,2.9,1.65,238.8,14.01,3.19,1.1,95.0
6.09,105.2,3.88,19.6,77.7,472.0,4.48,24.3,0.65,5.71,6.06,121.3,17.15,3.18,2.0,95.0
5.71,118.0,1.19,48.6,45.3,387.0,4.87,42.6,0.67,6.28,3.83,232.8,5.4,2.47,4.8,78.99
4.1,123.5,4.49,54.5,45.4,490.0,4.32,63.8,1.48,2.15,1.9,147.9,19.74,2.32,2.2,86.38
4.43,91.3,3.63,50.5,22.7,789.0,8.27,49.3,1.37,4.92,2.71,130.1,1.4,0.14,4.3,95.0
4.13,113.3,2.24,38.2,73.4,278.0,8.99,71.3,0.98,3.75,8.11,114.7,7.08,4.11,3.6,78.99
6.55,92.9,1.75,59.7,75.7,759.0,4.99,30.9,0.86,7.78,8.26,113.6,12.37,4.69,4.9,95.0
5.26,99.3,1.46,13.4,68.8,204.0,5.95,33.3,0.5,1.72,7.91,230.8,9.72,4.71,6.2,76.38
6.03,118.0,1.2,53.4,26.4,178.0,6.87,58.7,0.74,3.48,1.68,153.4,16.74,3.05,2.2,78.27
7.63,133.3,4.02,31.4,74.0,558.0,4.86,69.1,1.36,1.93,2.0,233.5,17.01,3.21,3.6,81.7
5.0,134.1,1.94,32.8,21.4,276.0,6.5,61.7,1.33,5.17,3.1,170.9,2.96,2.84,1.3,40.0
5.64,93.5,1.1,16.4,46.7,411.0,9.8,46.6,1.6,2.7,9.81,154.5,14.83,1.92,4.1,75.11
7.02,111.0,2.59,11.7,50.0,611.0,8.31,73.0,0.55,1.94,3.47,209.3,13.54,4.25,3.4,95.0
4.92,119.2,2.93,25.8,70.0,474.0,5.0,60.5,1.69,6.93,9.41,164.8,17.16,0.0,9.1,88.19
4.31,97.4,1.68,18.7,65.1,110.0,4.59,70.1,1.37,8.61,6.93,172.7,6.42,1.36,2.7,68.27
5.16,128.3,1.18,34.2,67.8,314.0,6.67,74.2,0.91,2.81,1.25,222.9,18.71,4.63,7.1,47.88
4.64,127.2,1.76,17.4,72.1,145.0,9.93,51.8,1.15,2.1,5.39,207.3,2.47,0.82,8.3,47.81
7.72,135.2,3.72,16.9,48.6,748.0,8.76,55.3,1.7,6.94,8.52,210.7,18.82,4.41,6.5,68.91
7.23,90.4,1.33,53.8,66.8,656.0,5.76,60.0,1.23,1.39,1.57,189.3,17.81,3.92,5.3,95.0
6.53,100.8,3.22,56.1,24.1,789.0,4.16,78.3,1.56,3.15,6.49,122.7,5.46,3.23,2.1,95.0
7.49,131.4,1.59,58.2,46.7,720.0,6.47,68.4,1.11,3.74,3.88,115.8,1.03,3.16,7.1,71.75
7.21,123.5,1.78,44.0,21.8,433.0,4.96,22.1,1.32,9.28,2.8,204.8,2.4,2.13,6.1,83.7
4.75,134.7,2.57,48.6,74.9,718.0,5.08,45.8,1.75,4.16,5.76,203.7,16.77,0.14,6.8,48.4
7.57,92.9,1.4,51.8,77.5,571.0,4.97,72.1,1.24,5.79,8.16,163.8,9.03,3.14,8.8,95.0
6.16,119.8,1.69,42.9,25.0,467.0,8.32,22.2,1.34,7.96,8.01,150.5,13.65,1.19,8.8,86.3
7.23,118.5,2.4,26.5,52.0,359.0,4.22,57.8,1.13,8.61,2.57,225.8,14.04,1.04,5.7,95.0
7.58,91.8,2.32,17.8,39.5,577.0,7.39,76.7,0.79,1.86,4.13,148.6,14.12,1.41,5.8,95.0
5.27,115.7,4.0,21.9,40.6,513.0,8.52,38.7,1.96,7.79,4.13,136.7,1.28,1.72,3.3,95.0
4.44,120.5,1.3,52.0,47.0,530.0,4.94,63.3,0.53,7.78,8.42,203.8,2.52,0.94,8.1,73.44
4.91,99.6,4.44,44.8,27.5,380.0,9.36,38.7,0.69,8.9,5.47,122.1,6.63,4.9,5.0,95.0
5.71,103.7,4.26,32.8,30.8,618.0,4.47,58.4,1.57,7.89,4.38,190.7,14.89,3.18,6.0,95.0
7.27,122.0,4.06,11.5,54.6,157.0,8.1,76.2,1.61,2.16,8.25,212.3,10.55,2.01,5.8,95.0
7.44,113.4,2.24,23.3,21.1,608.0,5.03,42.1,0.73,3.71,9.02,198.8,10.5,0.24,5.3,95.0
4.03,132.9,4.29,46.4,56.0,612.0,8.84,77.6,1.45,4.81,3.91,146.8,6.55,4.22,3.8,56.23
6.04,107.1,1.73,35.6,39.1,461.0,7.43,42.9,1.83,2.02,9.87,193.2,14.57,1.82,3.8,95.0
5.67,103.3,1.5,31.8,69.9,284.0,7.54,43.5,1.7,2.09,5.82,160.6,7.18,3.14,4.2,89.68
4.89,139.2,1.18,25.7,56.0,463.0,6.08,65.9,0.51,8.1,1.56,167.2,11.27,3.84,3.1,40.0
4.48,135.6,4.76,40.3,62.5,186.0,5.7,41.6,0.56,2.53,4.29,201.6,14.57,3.16,9.4,49.7
5.35,91.4,2.23,58.3,26.9,300.0,6.78,39.7,1.2,9.15,5.9,190.0,12.58,3.55,8.1,90.69
7.77,128.5,4.67,55.1,36.0,395.0,8.55,31.1,1.03,2.91,8.44,140.7,5.95,2.28,6.1,95.0
5.29,95.5,2.09,11.5,79.8,571.0,5.01,25.3,0.64,5.42,7.38,134.4,11.6,0.26,9.1,86.99
6.08,91.4,4.63,34.0,46.0,231.0,8.9,70.3,0.79,2.9,2.8,221.6,7.92,4.37,1.4,95.0
6.81,103.7,4.62,26.5,41.5,211.0,6.88,48.6,1.91,9.47,4.81,218.9,1.82,0.65,6.9,95.0
5.45,103.5,4.69,35.5,72.4,525.0,6.71,59.1,1.05,5.88,1.88,156.3,4.5,4.73,9.4,95.0
7.89,131.0,2.98,40.3,22.0,576.0,4.1,48.7,0.83,6.04,8.9,221.1,14.41,3.72,1.5,79.56
7.85,125.5,4.46,20.0,52.1,159.0,4.75,42.5,0.74,8.84,1.03,168.5,10.42,3.33,4.1,95.0
5.01,139.1,4.8,49.1,32.6,123.0,6.59,44.5,1.39,2.35,3.35,219.0,5.48,2.69,8.7,43.82
5.99,125.6,2.3,33.8,42.1,203.0,9.89,24.8,1.2,1.78,7.86,125.5,1.99,4.34,5.1,68.33
5.2,110.9,2.68,59.6,32.0,731.0,5.5,60.4,1.01,9.77,1.2,207.2,9.31,4.06,6.7,95.0
5.14,124.9,3.88,11.3,22.3,571.0,4.06,50.7,1.05,9.27,7.49,157.6,7.1,1.56,5.7,74.57
4.15,140.0,2.2,19.5,45.0,745.0,6.62,24.0,0.8,3.27,6.89,170.1,8.15,2.06,6.8,40.0
6.44,125.5,4.02,44.5,67.4,565.0,4.1,57.7,1.62,6.33,5.01,177.4,6.34,1.32,6.1,95.0
6.01,128.1,1.3,44.8,77.1,776.0,6.02,32.6,1.62,7.24,2.27,195.0,19.58,1.22,6.2,68.86
4.21,136.9,3.09,39.1,57.4,407.0,6.12,28.3,0.55,9.34,3.79,114.8,16.42,3.36,7.1,40.0
5.11,95.7,1.49,58.6,43.3,519.0,4.01,78.6,0.82,2.89,2.79,135.2,6.97,4.61,1.5,87.65
7.63,125.2,2.17,30.8,66.2,521.0,8.68,24.7,0.59,8.09,1.05,201.0,11.21,4.28,3.6,83.83
4.96,132.5,2.03,30.9,50.3,102.0,9.48,63.8,0.63,2.61,4.31,100.1,11.75,1.13,1.7,40.0
4.58,137.7,4.36,55.5,42.1,119.0,9.99,61.8,1.94,6.03,9.12,152.7,5.07,4.68,4.1,41.3
5.96,100.5,1.77,36.9,30.7,202.0,7.05,51.3,1.18,2.8,5.32,145.9,15.7,2.24,6.8,91.93
7.94,115.2,4.23,27.7,67.8,458.0,5.84,25.1,0.8,3.68,6.41,169.3,17.45,1.65,8.1,95.0
4.97,124.0,4.18,45.9,50.0,401.0,8.3,37.5,1.95,5.79,9.47,237.6,12.64,1.02,9.6,93.31
6.69,102.4,3.0,41.0,77.8,478.0,8.42,29.7,1.21,3.88,5.06,204.9,17.45,3.32,2.3,95.0
7.05,120.0,1.94,25.3,68.1,660.0,6.28,79.0,1.53,9.97,6.25,234.1,12.2,2.23,5.8,92.04
4.95,102.9,1.91,24.9,45.2,676.0,7.39,25.9,1.94,6.8,1.83,132.4,11.79,2.54,7.5,87.19
6.91,106.7,2.86,29.8,64.5,784.0,8.93,20.8,1.89,8.53,2.2,196.2,10.81,1.27,9.4,95.0
5.47,112.1,1.04,13.6,47.2,490.0,5.14,33.1,1.95,2.77,6.26,200.2,8.57,3.36,1.7,72.57
6.53,116.5,3.13,57.1,24.8,343.0,4.12,67.1,1.76,2.17,1.43,235.4,11.6,0.59,6.5,95.0
6.53,112.5,4.81,19.2,51.0,316.0,7.24,70.6,1.55,3.52,1.32,239.5,19.07,4.47,8.0,95.0
6.14,114.7,1.62,19.7,71.9,339.0,7.99,62.1,0.81,8.33,1.94,180.8,17.66,3.01,8.0,82.79
4.36,104.9,3.29,42.4,71.3,327.0,7.45,46.0,0.77,2.79,3.1,151.6,10.06,2.28,5.1,95.0
7.34,97.9,4.85,46.2,54.5,375.0,7.58,67.5,1.03,3.21,1.88,205.4,4.23,0.85,8.7,95.0
5.28,92.4,4.44,46.8,42.8,152.0,6.36,60.6,1.85,7.69,3.31,147.8,8.95,2.79,4.5,95.0
4.75,99.8,4.4,28.8,20.6,543.0,7.91,79.6,0.87,8.21,7.65,125.2,14.29,1.43,8.2,95.0
4.16,119.1,4.29,53.7,38.7,498.0,4.26,46.4,0.82,5.93,4.74,185.4,3.4,4.18,6.4,92.1
6.36,129.3,2.24,37.2,79.4,423.0,4.91,31.3,1.36,2.3,6.98,199.6,7.37,2.58,2.7,67.57
6.71,98.5,4.56,31.9,63.6,157.0,6.67,24.0,0.85,8.51,7.88,155.9,16.65,0.01,1.5,95.0
4.07,95.4,4.77,50.5,63.1,165.0,9.66,57.4,1.37,6.24,3.95,239.8,9.74,2.07,5.7,95.0
6.05,127.5,2.98,22.2,65.7,482.0,7.87,76.1,1.48,9.39,9.05,141.4,10.17,4.42,9.7,71.6
4.91,105.3,2.42,53.0,57.2,126.0,6.13,67.2,1.03,2.86,8.75,132.7,8.05,1.61,9.8,95.0
6.58,137.6,2.66,36.9,55.2,607.0,6.75,63.9,1.18,2.32,4.72,202.0,13.67,1.03,8.4,47.64
4.7,125.7,2.34,55.0,47.2,796.0,9.07,51.1,1.2,3.03,8.43,102.1,6.44,0.33,1.8,72.89
6.76,106.3,1.85,20.1,46.6,518.0,7.25,30.8,0.68,2.71,4.03,173.4,2.1,1.72,2.5,94.31
5.55,104.5,3.47,56.8,72.3,606.0,4.29,36.5,0.67,8.25,7.51,153.6,18.24,4.58,6.0,95.0
7.75,116.2,3.25,44.4,43.6,407.0,6.5,36.9,0.72,1.86,9.74,113.4,3.23,1.49,9.3,95.0
4.55,94.0,2.85,40.9,70.4,567.0,6.33,59.9,1.64,8.31,3.8,151.9,14.57,1.0,6.3,93.99
5.36,95.9,1.38,31.1,70.3,556.0,9.4,71.4,1.65,6.81,6.15,179.1,10.43,2.07,1.2,83.6
4.45,98.8,4.19,57.8,66.3,677.0,5.83,28.2,1.14,9.25,4.24,175.7,15.45,2.41,8.4,95.0
7.7,128.7,1.7,32.2,22.3,598.0,4.39,22.0,0.54,5.2,5.48,238.5,14.82,4.66,1.9,65.48
7.51,115.7,1.46,34.9,28.9,624.0,6.13,50.7,0.52,3.43,2.96,130.2,12.94,2.14,4.8,95.0
5.03,90.5,3.49,49.1,38.9,490.0,4.26,73.9,1.94,9.12,4.85,211.6,2.43,4.65,9.0,95.0
6.64,123.7,2.59,24.2,70.9,439.0,8.99,77.7,0.84,1.06,6.8,221.2,6.37,0.12,5.2,83.28
7.27,111.2,1.24,24.6,72.4,421.0,7.54,48.7,0.75,9.26,4.1,111.1,9.13,0.55,9.4,95.0
6.22,115.5,2.42,48.8,22.5,374.0,6.82,35.0,0.63,6.62,3.6,102.1,1.45,1.01,4.8,95.0
6.12,100.7,4.09,16.4,39.5,286.0,6.16,66.0,1.55,2.45,3.98,119.3,19.38,2.05,3.2,95.0
4.97,117.6,3.46,51.1,71.0,123.0,6.51,30.2,1.59,3.64,3.81,110.4,5.0,1.17,7.6,95.0
4.37,139.0,2.45,41.3,35.0,570.0,8.73,69.4,1.94,6.31,2.44,228.0,19.86,4.39,1.3,40.0
7.59,93.7,1.77,37.0,78.6,731.0,5.08,72.2,1.76,1.87,9.16,110.7,5.06,0.02,1.1,95.0
7.6,104.2,3.53,21.5,49.4,751.0,4.43,38.7,0.54,1.52,9.6,169.2,14.32,4.97,1.7,95.0
6.53,102.1,4.55,49.3,76.2,506.0,7.37,31.0,1.72,5.67,3.38,239.1,10.42,1.94,8.5,95.0
5.36,102.4,3.59,50.2,45.7,166.0,9.15,26.7,1.95,1.3,6.55,153.8,6.47,1.67,4.1,95.0
5.4,108.9,4.25,34.1,39.4,715.0,7.37,56.6,1.29,7.94,3.84,138.0,14.83,3.53,1.1,95.0
6.9,130.9,3.09,29.5,41.7,623.0,8.78,78.9,0.75,7.27,6.22,227.0,11.67,3.07,7.8,72.48
7.59,135.6,3.87,22.3,73.1,276.0,9.36,46.8,0.85,9.35,3.64,167.7,13.55,1.73,4.4,64.03
7.55,100.1,4.58,47.7,39.8,662.0,4.46,35.8,1.76,8.43,1.55,205.5,11.28,0.33,9.9,95.0
7.12,117.1,4.09,42.0,60.2,430.0,7.54,69.7,1.95,1.57,2.35,162.4,2.53,4.02,3.7,95.0
6.57,121.8,4.64,20.3,48.2,721.0,9.0,62.8,1.93,2.82,5.71,168.4,19.45,3.22,9.8,95.0
4.34,116.1,2.72,49.7,76.5,273.0,7.86,24.4,1.24,2.8,3.24,221.9,12.67,4.99,9.8,88.33
4.65,111.7,4.62,54.1,29.6,661.0,7.55,35.6,1.43,4.98,5.35,226.8,15.62,2.64,4.1,95.0
7.59,99.6,3.49,13.0,45.7,598.0,8.73,42.4,1.5,5.92,9.19,132.8,4.69,0.06,9.1,95.0
6.43,114.4,4.48,48.6,27.5,110.0,8.24,33.0,1.14,5.17,1.37,179.2,12.53,2.68,1.3,95.0
4.04,110.1,1.16,52.6,54.7,494.0,7.01,73.0,1.91,3.04,8.34,233.6,13.86,3.35,1.6,80.34
4.41,129.8,3.63,59.6,44.2,601.0,4.26,31.2,1.73,9.24,5.38,230.6,9.44,1.16,7.4,72.7
6.65,128.2,4.39,21.9,23.7,209.0,7.68,67.6,0.7,1.33,2.39,224.7,7.31,3.13,6.7,81.43
4.02,96.7,1.7,28.6,71.0,472.0,5.28,64.5,0.7,1.27,3.09,223.9,13.92,1.68,2.2,72.84
4.64,94.4,3.65,58.3,42.5,313.0,5.52,20.7,1.34,7.83,9.92,232.9,19.3,3.37,2.1,95.0
6.19,135.4,4.3,14.7,49.6,587.0,8.08,36.7,1.3,3.56,4.13,223.0,12.82,4.88,4.3,55.28
6.77,116.8,2.15,36.2,44.5,478.0,6.72,50.6,0.53,7.69,1.58,181.7,12.83,4.03,2.5,91.68
6.61,132.9,2.62,35.3,49.3,535.0,8.3,33.2,1.18,3.69,6.27,226.1,7.18,4.4,4.5,60.8
4.9,92.9,3.28,40.3,21.0,151.0,6.36,69.1,1.92,6.09,2.73,168.5,4.85,4.64,1.5,85.34
6.85,116.3,3.08,26.5,68.9,196.0,9.22,28.1,1.17,8.79,9.09,115.7,17.73,2.64,6.9,95.0
